experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
original,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,100,235.0,245.0,291.67,1.48,3000,60.0
original,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,101,168.0,92.0,180.0,2.19,3000,60.0
original,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,102,168.0,92.0,180.0,3.15,3000,60.0
original,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,103,252.0,443.0,320.0,4.96,3000,60.0
original,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,104,235.0,245.0,291.67,1.14,3000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,100,164.0,277.0,173.33,1.35,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,101,164.0,277.0,173.33,1.34,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,102,164.0,260.0,173.33,1.66,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,103,164.0,142.0,173.33,1.43,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,104,164.0,174.0,173.33,2.7,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,100,164.0,277.0,173.33,4.61,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,101,164.0,260.0,173.33,1.2,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,102,164.0,260.0,173.33,1.12,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,103,164.0,236.0,173.33,1.22,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,104,164.0,236.0,173.33,1.15,10000,60.0
original,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,100,164.0,260.0,173.33,16.49,4000,60.0
original,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,101,164.0,142.0,173.33,10.57,4000,60.0
original,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,102,164.0,277.0,173.33,10.57,4000,60.0
