experimento,instancia_rotulo,instancia_arquivo,n_jobs,n_machines,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes,lower_bound
padronizado,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,100,235.0,245.0,291.67,2.42,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,101,168.0,92.0,180.0,9.41,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,102,168.0,92.0,180.0,5.6,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,103,252.0,443.0,320.0,1.85,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,ACO,ACO_Optuna,104,235.0,245.0,291.67,1.81,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,100,164.0,277.0,173.33,1.67,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,101,164.0,277.0,173.33,1.17,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,102,164.0,260.0,173.33,1.17,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,103,164.0,142.0,173.33,0.71,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fixo_default,104,164.0,174.0,173.33,0.71,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,100,164.0,277.0,173.33,0.76,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,101,164.0,260.0,173.33,0.84,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,102,164.0,260.0,173.33,0.84,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,103,164.0,236.0,173.33,0.85,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,BRKGA,fuzzy,104,164.0,236.0,173.33,1.24,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,100,164.0,260.0,173.33,12.16,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,101,164.0,142.0,173.33,10.3,5000,60.0
padronizado,4x2,I_2_4_2_1.txt,4,2,Neuro-BOA,adaptativo,102,164.0,277.0,173.33,11.9,5000,60.0
