instancia,solver,versao,seed,makespan,tardiness,gap_pct,tempo_s,n_avaliacoes
4x2,ACO,tunado,100,235.0,245.0,291.67,1.41,3000
4x2,ACO,tunado,101,168.0,92.0,180.0,1.75,3000
4x2,ACO,tunado,102,168.0,92.0,180.0,1.26,3000
4x2,ACO,tunado,103,252.0,443.0,320.0,1.08,3000
4x2,ACO,tunado,104,235.0,245.0,291.67,1.06,3000
16x2,ACO,tunado,100,1558.0,14421.0,80.74,3.92,3000
16x2,ACO,tunado,101,1416.0,10870.0,64.27,4.44,3000
16x2,ACO,tunado,102,1467.0,12813.0,70.19,4.6,3000
16x2,ACO,tunado,103,1437.0,11137.0,66.71,3.98,3000
16x2,ACO,tunado,104,1413.0,11537.0,63.92,4.55,3000
16x5,ACO,tunado,100,2744.0,33620.0,318.29,10.52,3000
16x5,ACO,tunado,101,2786.0,34959.0,324.7,10.92,3000
16x5,ACO,tunado,102,2696.0,32124.0,310.98,10.9,3000
16x5,ACO,tunado,103,2794.0,33554.0,325.91,10.94,3000
16x5,ACO,tunado,104,2803.0,33690.0,327.29,10.82,3000
16x4,ACO,tunado,100,2905.0,33718.0,279.74,10.1,3000
16x4,ACO,tunado,101,3059.0,37717.0,299.87,10.66,3000
16x4,ACO,tunado,102,3331.0,42003.0,335.42,10.87,3000
16x4,ACO,tunado,103,2784.0,34444.0,263.92,10.95,3000
16x4,ACO,tunado,104,2922.0,35997.0,281.96,10.89,3000
4x2,BRKGA,fixo_default,100,164.0,277.0,173.33,0.69,5000
4x2,BRKGA,fixo_default,101,164.0,277.0,173.33,0.65,5000
4x2,BRKGA,fixo_default,102,164.0,260.0,173.33,0.89,5000
4x2,BRKGA,fixo_default,103,164.0,142.0,173.33,0.68,5000
4x2,BRKGA,fixo_default,104,164.0,174.0,173.33,0.67,5000
16x2,BRKGA,fixo_default,100,1008.0,7672.0,16.94,0.81,5000
16x2,BRKGA,fixo_default,101,1042.0,8728.0,20.88,0.81,5000
16x2,BRKGA,fixo_default,102,1047.0,8809.0,21.46,0.83,5000
16x2,BRKGA,fixo_default,103,1006.0,8142.0,16.71,1.03,5000
16x2,BRKGA,fixo_default,104,996.0,8406.0,15.55,0.87,5000
16x5,BRKGA,fixo_default,100,1684.0,17654.0,156.71,1.82,5000
16x5,BRKGA,fixo_default,101,1515.0,15795.0,130.95,1.44,5000
16x5,BRKGA,fixo_default,102,1439.0,15799.0,119.36,1.06,5000
16x5,BRKGA,fixo_default,103,1627.0,18320.0,148.02,1.27,5000
16x5,BRKGA,fixo_default,104,1584.0,17565.0,141.46,1.05,5000
16x4,BRKGA,fixo_default,100,1631.0,17344.0,113.2,1.06,5000
16x4,BRKGA,fixo_default,101,1692.0,18051.0,121.18,1.05,5000
16x4,BRKGA,fixo_default,102,1605.0,16898.0,109.8,1.06,5000
16x4,BRKGA,fixo_default,103,1656.0,16489.0,116.47,1.07,5000
16x4,BRKGA,fixo_default,104,1681.0,18061.0,119.74,1.04,5000
4x2,BRKGA,fixo_optuna,100,164.0,277.0,173.33,0.98,5000
4x2,BRKGA,fixo_optuna,101,164.0,142.0,173.33,1.63,5000
4x2,BRKGA,fixo_optuna,102,164.0,237.0,173.33,1.17,5000
4x2,BRKGA,fixo_optuna,103,164.0,275.0,173.33,0.8,5000
4x2,BRKGA,fixo_optuna,104,164.0,236.0,173.33,0.75,5000
16x2,BRKGA,fixo_optuna,100,987.0,8628.0,14.5,1.0,5000
16x2,BRKGA,fixo_optuna,101,1008.0,8567.0,16.94,1.14,5000
16x2,BRKGA,fixo_optuna,102,1047.0,8438.0,21.46,0.88,5000
16x2,BRKGA,fixo_optuna,103,1042.0,7754.0,20.88,0.98,5000
16x2,BRKGA,fixo_optuna,104,1028.0,8062.0,19.26,0.96,5000
16x5,BRKGA,fixo_optuna,100,1357.0,13541.0,106.86,1.22,5000
16x5,BRKGA,fixo_optuna,101,1348.0,13535.0,105.49,1.5,5000
16x5,BRKGA,fixo_optuna,102,1493.0,14718.0,127.59,2.23,5000
16x5,BRKGA,fixo_optuna,103,1429.0,15043.0,117.84,1.66,5000
16x5,BRKGA,fixo_optuna,104,1384.0,13601.0,110.98,1.2,5000
